segment,n_points,type,method,linearity,planarity,sphericity,curvature_mean,normal_consistency,n_components,rmse,hausdorff_p95,chamfer,n_artifacts,watertight,n_vertices,n_triangles,file
3,72,tube,ball_pivoting,0.8143963011562114,0.16221383475183382,0.023389864091954746,0.05727643694871146,0.9418353223817549,1,0.008623365842701057,0.027916095329979435,0.018911049100176262,1,False,72,102,valve_0012_lidar_classes.ply
5,1501,complex,poisson,0.3091332271121723,0.619966008841177,0.07090076404665073,0.10336544619074131,0.8049321315424315,1,0.018835905705087728,0.11430029319974298,0.06330963405820966,3,False,6072,11985,valve_0012_lidar_classes.ply
6,195,complex,poisson,0.3156994560850773,0.44327526239297127,0.24102528152195135,0.08753908568873608,0.8541336881844314,13,0.033949378394613004,0.17749887374448556,0.10721720948062151,9,False,3035,5766,valve_0012_lidar_classes.ply
7,64,tube,ball_pivoting,0.9420229978923896,0.02673952797216916,0.031237474135441274,0.05702076521101147,0.9031953972077723,2,0.009540915338657956,0.022230437169942236,0.01775539885814814,2,False,64,74,valve_0012_lidar_classes.ply
8,1225,complex,poisson,0.4744759736303621,0.47508514292549026,0.05043888344414766,0.05566110427865367,0.9395093645673311,3,0.016061657416170085,0.1969687317024843,0.07115534564916891,2,False,4498,8872,valve_0012_lidar_classes.ply
9,1768,tube,ball_pivoting,0.5265006398678433,0.42817973216214805,0.04531962797000865,0.06945665196452049,0.9229416257820194,3,0.011498614796047043,0.019834446095859316,0.02005480454114516,4,False,1768,2199,valve_0012_lidar_classes.ply
10,3144,complex,poisson,0.3865532359800028,0.24745307375163442,0.36599369026836276,0.044000615222502086,0.9685121586081137,3,0.011707598490107827,0.05928021102734931,0.028265306239739364,3,False,7675,15167,valve_0012_lidar_classes.ply
11,754,plane,alpha_shape,0.3399095783841014,0.6368302248168985,0.023260196799000047,0.03877719993487626,0.9707586326493,2,0.01261645647549626,0.02063441299239775,0.020797513447304135,4,False,642,1386,valve_0012_lidar_classes.ply
12,1498,plane,alpha_shape,0.10543117995659941,0.8144293829867727,0.08013943705662781,0.04633472806665276,0.9631018574817681,1,0.01255858493869323,0.02060732800487847,0.022066866940770917,3,False,1225,2678,valve_0012_lidar_classes.ply
13,763,complex,poisson,0.02352605664089529,0.5184632677306026,0.4580106756285021,0.08661632043162161,0.8865596411268862,1,0.012852076554429869,0.03026809405168593,0.022767163562793846,1,False,2980,5748,valve_0012_lidar_classes.ply
2,638,complex,poisson,0.1877177086712326,0.4080611893492569,0.4042211019795105,0.08471950435680495,0.8851693788701854,18,0.027541726935522193,0.13650085757699604,0.09408439381766072,9,False,6102,11808,valve_0013_lidar_classes.ply
3,67,tube,ball_pivoting,0.84906662845011,0.11944715612406893,0.03148621542582092,0.08127403835993259,0.8806608313800774,2,0.010881462020591197,0.05299151197975479,0.02836010881041668,2,False,67,84,valve_0013_lidar_classes.ply
5,1620,complex,poisson,0.1365144167306576,0.7783574722034827,0.0851281110658597,0.10602870059835476,0.804969191954687,1,0.020407814012733744,0.21683512313836106,0.09778805540567408,4,False,7014,13863,valve_0013_lidar_classes.ply
6,296,complex,poisson,0.356773805244961,0.2217730972396821,0.42145309751535687,0.06614079080502203,0.8910483850814814,16,0.03579652968455814,0.1488145843399354,0.10702359428057232,5,False,4099,7905,valve_0013_lidar_classes.ply
8,1850,complex,poisson,0.3623723822039465,0.5951406127371908,0.042487005058862756,0.058883246604955954,0.9319191254782131,2,0.012324572736315029,0.05865583627694806,0.029372862460356072,4,False,5208,10328,valve_0013_lidar_classes.ply
9,1223,complex,poisson,0.33780167873496586,0.6191374859288421,0.043060835336192024,0.060945941147902666,0.935273665487904,1,0.01619089058624047,0.12677503855027478,0.05631357658544337,3,False,5081,10067,valve_0013_lidar_classes.ply
10,3370,complex,poisson,0.15615844810117668,0.483416872244878,0.3604246796539453,0.045296773602663376,0.9680487434351555,3,0.011929080424877885,0.09093053811521772,0.035662408699805775,1,False,8471,16772,valve_0013_lidar_classes.ply
11,731,plane,alpha_shape,0.11967730771241292,0.8557780345292578,0.024544657758329227,0.029780915523994873,0.9742269976930343,2,0.011746778326852147,0.019545884915140727,0.020638151202350276,1,False,656,1410,valve_0013_lidar_classes.ply
12,1323,plane,alpha_shape,0.2560155528540977,0.671968802335874,0.07201564481002821,0.04341149974100833,0.9618269000448987,1,0.01252578606863255,0.022281891038962803,0.022391546454483154,1,False,1108,2392,valve_0013_lidar_classes.ply
13,675,complex,poisson,0.029829208135161815,0.5908280101215195,0.3793427817433187,0.07610901809923236,0.9094816905210569,1,0.012645631385634177,0.03212487363199586,0.02319289581250817,3,False,2879,5545,valve_0013_lidar_classes.ply
2,409,complex,poisson,0.46134257370298276,0.19748827262944738,0.3411691536675699,0.07701939504816269,0.9043878204614817,15,0.027011124240722603,0.13916772814251668,0.09450853077928,5,False,3979,7630,valve_0014_lidar_classes.ply
3,62,tube,ball_pivoting,0.8594348142443373,0.11648896193413838,0.024076223821524405,0.0607959953019293,0.9415884107118698,1,0.006670504973661937,0.02493670017378815,0.015573664615500943,2,False,62,78,valve_0014_lidar_classes.ply
5,1629,complex,poisson,0.40649733388376197,0.5390906321260815,0.054412033990156386,0.095369376803627,0.8210873103123909,1,0.018536056771454527,0.17963494644414635,0.08424153934425231,10,False,6574,12910,valve_0014_lidar_classes.ply
6,538,complex,poisson,0.3392898599383341,0.2597776522441836,0.40093248781748236,0.07211317062000995,0.8940217018951078,20,0.02774007805365231,0.14602421273200963,0.0924588357986424,2,False,5437,10549,valve_0014_lidar_classes.ply
7,86,tube,ball_pivoting,0.9770474712742939,0.00479951286380212,0.018153015861904036,0.08197638070764872,0.8347256455146556,3,0.009587319934153956,0.018796453329589142,0.017303500743281117,3,False,86,103,valve_0014_lidar_classes.ply
8,1328,complex,poisson,0.34396999320761174,0.6114893471608078,0.04454065963158045,0.06112719113281829,0.9331662071574129,2,0.014326778256193481,0.1649294614325725,0.06475138668077231,2,False,5247,10351,valve_0014_lidar_classes.ply
9,2134,complex,poisson,0.31426878912278494,0.636673951855789,0.04905725902142614,0.06357154283754246,0.9268191936097314,2,0.01190593054494652,0.04868325418824348,0.02498809526795877,1,False,6001,11921,valve_0014_lidar_classes.ply
10,3565,complex,poisson,0.06962156293236968,0.44240694346539344,0.4879714936022369,0.04549436111913021,0.9661629887689174,4,0.010315404851447536,0.04412368053831521,0.022632517430848376,1,False,8256,16295,valve_0014_lidar_classes.ply
11,707,plane,alpha_shape,0.24961086613058206,0.7239431864364272,0.02644594743299066,0.03654325347034797,0.9705406910661525,4,0.012525856063581621,0.019922056502756642,0.020649019059407994,2,False,620,1322,valve_0014_lidar_classes.ply
12,1337,plane,alpha_shape,0.1762402960474997,0.7587898243782429,0.06496987957425733,0.04526556650235429,0.9586921030623918,1,0.01204425066659512,0.020879935248220707,0.021616164697919098,1,False,1094,2364,valve_0014_lidar_classes.ply
