file,label,n_points,density_qual,mean_neighbor_dist,uniformity,shape_type,elongation,surface_class,mean_curvature,curvature_std,normals_consistency,mean_normal_angle_deg,n_components,isolated_clusters,integrity,integrity_qual
valve_0009_lidar_classes.ply,6,878,medium,0.11731763211247877,0.414963603227245,volumetric,3.1376001136722915,slightly curved,0.05645249501491545,0.037464620229380546,medium (cylindrical/spherical),26.670804814379885,13,4,0.20159453302961275,fragmented or many components
valve_0009_lidar_classes.ply,7,115,low,0.12526206650850583,0.5214905571644041,linear,53.86109243493436,slightly curved,0.056329535925224744,0.03592510366987363,medium (cylindrical/spherical),27.14895105393686,3,1,0.5565217391304348,fragmented or many components
valve_0009_lidar_classes.ply,8,2439,medium,0.10659069224578871,0.3653860639712996,planar,12.860929125292419,slightly curved,0.06180786577494393,0.04302953288099316,medium (cylindrical/spherical),25.05470136502672,14,11,0.990569905699057,highly intact (one main component)
valve_0009_lidar_classes.ply,9,1277,medium,0.11483862294734783,0.5190207528145553,planar,22.43480062987585,slightly curved,0.05586693774284835,0.041256785118497265,medium (cylindrical/spherical),24.244869812906774,38,33,0.9389193422083008,mostly intact with small outliers
valve_0009_lidar_classes.ply,10,3354,medium,0.10085465237539136,0.4359547298482888,volumetric,2.4421085719921054,slightly curved,0.04589605780634561,0.043668346807902665,medium (cylindrical/spherical),18.290779123477375,30,25,0.9666070363744782,mostly intact with small outliers
valve_0009_lidar_classes.ply,11,550,medium,0.11974662245909486,0.3921503681525842,planar,43.82065969395513,slightly curved,0.0256315437416589,0.02690273809305078,medium (cylindrical/spherical),13.637937426518278,11,5,0.4218181818181818,fragmented or many components
valve_0009_lidar_classes.ply,12,1118,medium,0.11512889672651942,0.3897862015880429,planar,14.452442023221408,slightly curved,0.04180876298816396,0.03654812705859977,medium (cylindrical/spherical),18.190557297280936,8,5,0.9087656529516994,mostly intact with small outliers
valve_0009_lidar_classes.ply,13,668,medium,0.10674111260243097,0.30544188570778413,volumetric,2.069642028966015,slightly curved,0.06747689602361137,0.04647389888157766,medium (cylindrical/spherical),27.096392484218534,1,0,1.0,highly intact (one main component)
valve_0010_lidar_classes.ply,2,717,medium,0.1224956639513381,0.37459237987578936,volumetric,2.1447544706734947,slightly curved,0.05750019909328064,0.03911340683576002,low (complex/noisy),29.4618398523418,18,2,0.09762900976290098,fragmented or many components
valve_0010_lidar_classes.ply,3,61,low,0.12640340232551833,0.39148117058228643,linear,51.202054497575304,slightly curved,0.0683584544737398,0.03749000911269266,low (complex/noisy),28.95065961593848,2,0,0.6065573770491803,fragmented or many components
valve_0010_lidar_classes.ply,5,1668,medium,0.10743419903098748,0.38473626186182874,planar,11.826387761846082,slightly curved,0.06949702525550201,0.04527954540398455,low (complex/noisy),32.505019744994065,8,5,0.9922062350119905,highly intact (one main component)
valve_0010_lidar_classes.ply,6,272,medium,0.17638310463529241,0.8367807499563881,volumetric,2.002102297785826,slightly curved,0.0559527359404507,0.04157969398421204,low (complex/noisy),29.016250896159633,32,14,0.11397058823529412,fragmented or many components
valve_0010_lidar_classes.ply,7,76,low,0.13748610358308883,0.440549874823589,linear,71.20283834656874,slightly curved,0.06286754608239853,0.0512347489461463,low (complex/noisy),30.347435530009946,4,1,0.47368421052631576,fragmented or many components
valve_0010_lidar_classes.ply,8,1791,medium,0.10705893641316408,0.4331129247759157,planar,24.89021785274814,slightly curved,0.048555098926916306,0.03966317726176137,medium (cylindrical/spherical),22.413972579524778,14,11,0.9765494137353434,mostly intact with small outliers
valve_0010_lidar_classes.ply,9,1676,medium,0.11828922676588476,0.36429893181476547,planar,17.453272399635864,slightly curved,0.05633568020599335,0.04159344570705908,medium (cylindrical/spherical),24.452883514714237,6,5,0.9964200477326969,highly intact (one main component)
valve_0010_lidar_classes.ply,10,3647,medium,0.10146546549476892,0.3869121246104427,volumetric,2.142408968352045,slightly curved,0.043727396574116964,0.04075931889991878,medium (cylindrical/spherical),17.95932281212303,10,8,0.9956128324650397,highly intact (one main component)
valve_0010_lidar_classes.ply,11,700,medium,0.12491445101730747,0.4124154705274855,planar,37.72117091053297,slightly curved,0.03689999134624436,0.033046919397975334,medium (cylindrical/spherical),16.16563717473674,5,4,0.9928571428571429,highly intact (one main component)
valve_0010_lidar_classes.ply,12,1302,medium,0.1151356018885432,0.4047907302798609,planar,10.934487540787583,slightly curved,0.047129348658857,0.037906795424982195,medium (cylindrical/spherical),19.17787644954217,9,8,0.9930875576036866,highly intact (one main component)
valve_0010_lidar_classes.ply,13,625,medium,0.10566270644867218,0.3024121716089171,volumetric,2.2170630453859794,slightly curved,0.06383351143230928,0.04349107300346761,medium (cylindrical/spherical),25.65666439261771,1,0,1.0,highly intact (one main component)
valve_0011_lidar_classes.ply,2,428,medium,0.1412801405024479,0.5754761448775696,volumetric,2.9217766372537377,slightly curved,0.05926279965526585,0.036591829205334776,low (complex/noisy),30.15626203660039,19,4,0.16121495327102803,fragmented or many components
valve_0011_lidar_classes.ply,3,44,low,0.14762358094428282,0.41213530943617677,linear,45.847124584357374,slightly curved,0.05062027946513519,0.02997788787296391,medium (cylindrical/spherical),26.62354844899089,2,0,0.6590909090909091,fragmented or many components
valve_0011_lidar_classes.ply,5,1614,medium,0.1092566081301999,0.387972059346189,planar,13.441285194093103,slightly curved,0.06813890208374161,0.04508197050643593,low (complex/noisy),31.939107181942113,5,3,0.9919454770755886,highly intact (one main component)
